"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1854","SL-CHKI-004 - Missing zip code error","Mobile Chrome","Wed Jul 30 06:31:22 UTC 2025","passed","Wed Jul 30 06:31:24 UTC 2025","Checkout Info Page Tests","checkout-info.spec.js","",""
"","1719","SL-CHKI-002 - Missing first name error","Chrome","Wed Jul 30 06:30:41 UTC 2025","passed","Wed Jul 30 06:30:42 UTC 2025","Checkout Info Page Tests","checkout-info.spec.js","",""
"","1506","SL-LGN-001 - Successful login with valid credentials","Mobile Chrome","Wed Jul 30 06:31:19 UTC 2025","passed","Wed Jul 30 06:31:21 UTC 2025","Login Page Tests","login.spec.js","",""
"","1005","SL-LGN-002 - Error for invalid username","Mobile Chrome","Wed Jul 30 06:31:21 UTC 2025","passed","Wed Jul 30 06:31:22 UTC 2025","Login Page Tests","login.spec.js","",""
"","1604","SL-LGN-001 - Successful login with valid credentials","Chrome","Wed Jul 30 06:30:37 UTC 2025","passed","Wed Jul 30 06:30:39 UTC 2025","Login Page Tests","login.spec.js","",""
"","1424","SL-CHKI-005 - Cancel redirects to cart page","Chrome","Wed Jul 30 06:30:46 UTC 2025","passed","Wed Jul 30 06:30:47 UTC 2025","Checkout Info Page Tests","checkout-info.spec.js","",""
"","1272","SL-CART-002 - Remove item from cart","Chrome","Wed Jul 30 06:30:40 UTC 2025","passed","Wed Jul 30 06:30:42 UTC 2025","Cart Page Tests","cart.spec.js","",""
"","1926","SL-LGN-003 - Error for invalid password","Firefox","Wed Jul 30 06:30:55 UTC 2025","passed","Wed Jul 30 06:30:57 UTC 2025","Login Page Tests","login.spec.js","",""
"","1820","SL-CART-003 - Continue shopping from cart","Mobile Chrome","Wed Jul 30 06:31:19 UTC 2025","passed","Wed Jul 30 06:31:21 UTC 2025","Cart Page Tests","cart.spec.js","",""
"","2011","SL-PROD-002 - Add ""Sauce Labs Backpack"" to cart","Firefox","Wed Jul 30 06:30:56 UTC 2025","passed","Wed Jul 30 06:30:58 UTC 2025","Products Page Tests","products.spec.js","",""
"","1736","SL-CHKI-002 - Missing first name error","Mobile Chrome","Wed Jul 30 06:31:19 UTC 2025","passed","Wed Jul 30 06:31:20 UTC 2025","Checkout Info Page Tests","checkout-info.spec.js","",""
"","4555","SL-PROD-004 - Navigate to ""About"" page from menu","Chrome","Wed Jul 30 06:30:43 UTC 2025","passed","Wed Jul 30 06:30:48 UTC 2025","Products Page Tests","products.spec.js","",""
"","939","SL-LGN-005 - Error for empty password","Mobile Chrome","Wed Jul 30 06:31:25 UTC 2025","passed","Wed Jul 30 06:31:26 UTC 2025","Login Page Tests","login.spec.js","",""
"","2003","SL-PROD-002 - Add ""Sauce Labs Backpack"" to cart","Safari","Wed Jul 30 06:31:11 UTC 2025","passed","Wed Jul 30 06:31:13 UTC 2025","Products Page Tests","products.spec.js","",""
"","1341","SL-CHKI-003 - Missing last name error","Mobile Chrome","Wed Jul 30 06:31:20 UTC 2025","passed","Wed Jul 30 06:31:22 UTC 2025","Checkout Info Page Tests","checkout-info.spec.js","",""
"","8892","SL-PROD-004 - Navigate to ""About"" page from menu","Safari","Wed Jul 30 06:31:15 UTC 2025","passed","Wed Jul 30 06:31:24 UTC 2025","Products Page Tests","products.spec.js","",""
"","3609","SL-CART-001 - Verify item in cart","Firefox","Wed Jul 30 06:30:46 UTC 2025","passed","Wed Jul 30 06:30:50 UTC 2025","Cart Page Tests","cart.spec.js","",""
"","1875","SL-CHKI-005 - Cancel redirects to cart page","Safari","Wed Jul 30 06:31:16 UTC 2025","passed","Wed Jul 30 06:31:18 UTC 2025","Checkout Info Page Tests","checkout-info.spec.js","",""
"","1932","SL-PROD-001 - Verify product display","Safari","Wed Jul 30 06:31:09 UTC 2025","passed","Wed Jul 30 06:31:11 UTC 2025","Products Page Tests","products.spec.js","",""
"","1103","SL-LGN-003 - Error for invalid password","Chrome","Wed Jul 30 06:30:42 UTC 2025","passed","Wed Jul 30 06:30:43 UTC 2025","Login Page Tests","login.spec.js","",""
"","1670","SL-CHKI-003 - Missing last name error","Chrome","Wed Jul 30 06:30:42 UTC 2025","passed","Wed Jul 30 06:30:44 UTC 2025","Checkout Info Page Tests","checkout-info.spec.js","",""
"","2342","SL-CART-003 - Continue shopping from cart","Safari","Wed Jul 30 06:31:11 UTC 2025","passed","Wed Jul 30 06:31:13 UTC 2025","Cart Page Tests","cart.spec.js","",""
"","2243","SL-CHKI-004 - Missing zip code error","Safari","Wed Jul 30 06:31:14 UTC 2025","passed","Wed Jul 30 06:31:16 UTC 2025","Checkout Info Page Tests","checkout-info.spec.js","",""
"","1997","SL-PROD-005 - Logout from products page","Firefox","Wed Jul 30 06:31:05 UTC 2025","passed","Wed Jul 30 06:31:07 UTC 2025","Products Page Tests","products.spec.js","",""
"","2442","SL-CHKI-002 - Missing first name error","Safari","Wed Jul 30 06:31:09 UTC 2025","passed","Wed Jul 30 06:31:11 UTC 2025","Checkout Info Page Tests","checkout-info.spec.js","",""
"","4812","SL-CHKI-001 - Valid checkout information proceeds","Firefox","Wed Jul 30 06:30:47 UTC 2025","passed","Wed Jul 30 06:30:52 UTC 2025","Checkout Info Page Tests","checkout-info.spec.js","",""
"","1599","SL-LGN-005 - Error for empty password","Safari","Wed Jul 30 06:31:12 UTC 2025","passed","Wed Jul 30 06:31:14 UTC 2025","Login Page Tests","login.spec.js","",""
"","802","SL-LGN-006 - Locked out user cannot login","Chrome","Wed Jul 30 06:30:45 UTC 2025","passed","Wed Jul 30 06:30:46 UTC 2025","Login Page Tests","login.spec.js","",""
"","4821","SL-CART-001 - Verify item in cart","Safari","Wed Jul 30 06:31:02 UTC 2025","passed","Wed Jul 30 06:31:07 UTC 2025","Cart Page Tests","cart.spec.js","",""
"","1404","SL-CART-002 - Remove item from cart","Mobile Chrome","Wed Jul 30 06:31:18 UTC 2025","passed","Wed Jul 30 06:31:19 UTC 2025","Cart Page Tests","cart.spec.js","",""
"","1428","SL-LGN-003 - Error for invalid password","Safari","Wed Jul 30 06:31:10 UTC 2025","passed","Wed Jul 30 06:31:11 UTC 2025","Login Page Tests","login.spec.js","",""
"","2596","SL-CHKI-005 - Cancel redirects to cart page","Firefox","Wed Jul 30 06:31:01 UTC 2025","passed","Wed Jul 30 06:31:03 UTC 2025","Checkout Info Page Tests","checkout-info.spec.js","",""
"","4890","SL-PROD-004 - Navigate to ""About"" page from menu","Firefox","Wed Jul 30 06:31:00 UTC 2025","passed","Wed Jul 30 06:31:05 UTC 2025","Products Page Tests","products.spec.js","",""
"","1357","SL-PROD-003 - Verify hamburger menu functionality","Chrome","Wed Jul 30 06:30:42 UTC 2025","passed","Wed Jul 30 06:30:43 UTC 2025","Products Page Tests","products.spec.js","",""
"","1325","SL-PROD-002 - Add ""Sauce Labs Backpack"" to cart","Mobile Chrome","Wed Jul 30 06:31:24 UTC 2025","passed","Wed Jul 30 06:31:26 UTC 2025","Products Page Tests","products.spec.js","",""
"","1921","SL-CART-002 - Remove item from cart","Safari","Wed Jul 30 06:31:09 UTC 2025","passed","Wed Jul 30 06:31:10 UTC 2025","Cart Page Tests","cart.spec.js","",""
"","1881","SL-CHKI-001 - Valid checkout information proceeds","Chrome","Wed Jul 30 06:30:37 UTC 2025","passed","Wed Jul 30 06:30:39 UTC 2025","Checkout Info Page Tests","checkout-info.spec.js","",""
"","1506","SL-CHKI-004 - Missing zip code error","Chrome","Wed Jul 30 06:30:44 UTC 2025","passed","Wed Jul 30 06:30:45 UTC 2025","Checkout Info Page Tests","checkout-info.spec.js","",""
"","2023","SL-CART-004 - Proceed to checkout from cart","Safari","Wed Jul 30 06:31:13 UTC 2025","passed","Wed Jul 30 06:31:15 UTC 2025","Cart Page Tests","cart.spec.js","",""
"","1279","SL-LGN-004 - Error for empty username","Safari","Wed Jul 30 06:31:11 UTC 2025","passed","Wed Jul 30 06:31:12 UTC 2025","Login Page Tests","login.spec.js","",""
"","1466","SL-CART-001 - Verify item in cart","Mobile Chrome","Wed Jul 30 06:31:16 UTC 2025","passed","Wed Jul 30 06:31:18 UTC 2025","Cart Page Tests","cart.spec.js","",""
"","1527","SL-CHKI-005 - Cancel redirects to cart page","Mobile Chrome","Wed Jul 30 06:31:24 UTC 2025","passed","Wed Jul 30 06:31:25 UTC 2025","Checkout Info Page Tests","checkout-info.spec.js","",""
"","1500","SL-CART-004 - Proceed to checkout from cart","Chrome","Wed Jul 30 06:30:43 UTC 2025","passed","Wed Jul 30 06:30:44 UTC 2025","Cart Page Tests","cart.spec.js","",""
"","1689","SL-PROD-001 - Verify product display","Chrome","Wed Jul 30 06:30:37 UTC 2025","passed","Wed Jul 30 06:30:39 UTC 2025","Products Page Tests","products.spec.js","",""
"","1513","SL-PROD-005 - Logout from products page","Chrome","Wed Jul 30 06:30:48 UTC 2025","passed","Wed Jul 30 06:30:49 UTC 2025","Products Page Tests","products.spec.js","",""
